record,n_samples,duration_min,fs_hz,fhr_mean,fhr_std,fhr_min,fhr_max,nan_pct,n_channels,sig_names
1001,19200,80.0,4,106.98,59.38,0.0,193.0,0.0,2,"['FHR', 'UC']"
1002,19200,80.0,4,122.06,59.31,0.0,224.0,0.0,2,"['FHR', 'UC']"
1003,18000,75.0,4,97.13,51.55,0.0,174.5,0.0,2,"['FHR', 'UC']"
1004,16800,70.0,4,133.03,26.07,0.0,166.75,0.0,2,"['FHR', 'UC']"
1005,18000,75.0,4,92.55,51.58,0.0,229.0,0.0,2,"['FHR', 'UC']"
1006,16800,70.0,4,105.26,61.88,0.0,197.25,0.0,2,"['FHR', 'UC']"
1007,15600,65.0,4,102.64,57.77,0.0,173.5,0.0,2,"['FHR', 'UC']"
1008,16800,70.0,4,111.5,37.54,0.0,189.0,0.0,2,"['FHR', 'UC']"
1009,20400,85.0,4,88.32,65.28,0.0,236.5,0.0,2,"['FHR', 'UC']"
1010,16800,70.0,4,111.38,42.68,0.0,148.5,0.0,2,"['FHR', 'UC']"
1011,15600,65.0,4,117.81,35.92,0.0,170.5,0.0,2,"['FHR', 'UC']"
1012,16800,70.0,4,82.52,60.82,0.0,207.75,0.0,2,"['FHR', 'UC']"
1013,18000,75.0,4,96.36,57.26,0.0,211.0,0.0,2,"['FHR', 'UC']"
1014,19200,80.0,4,110.25,51.94,0.0,211.5,0.0,2,"['FHR', 'UC']"
1015,19200,80.0,4,99.12,62.35,0.0,233.5,0.0,2,"['FHR', 'UC']"
1016,16800,70.0,4,104.8,59.61,0.0,218.0,0.0,2,"['FHR', 'UC']"
1017,21600,90.0,4,124.6,61.75,0.0,193.75,0.0,2,"['FHR', 'UC']"
1018,15600,65.0,4,109.91,68.04,0.0,189.25,0.0,2,"['FHR', 'UC']"
1019,16800,70.0,4,130.11,31.3,0.0,192.25,0.0,2,"['FHR', 'UC']"
1020,16800,70.0,4,147.07,21.32,0.0,171.5,0.0,2,"['FHR', 'UC']"
1021,16800,70.0,4,111.55,47.34,0.0,219.0,0.0,2,"['FHR', 'UC']"
1022,15620,65.08,4,126.33,30.76,0.0,170.5,0.0,2,"['FHR', 'UC']"
1023,18000,75.0,4,123.4,48.09,0.0,217.5,0.0,2,"['FHR', 'UC']"
1024,15600,65.0,4,125.06,33.34,0.0,163.75,0.0,2,"['FHR', 'UC']"
1025,19200,80.0,4,102.17,36.74,0.0,155.5,0.0,2,"['FHR', 'UC']"
1026,18000,75.0,4,95.27,64.52,0.0,212.0,0.0,2,"['FHR', 'UC']"
1027,18000,75.0,4,113.77,57.46,0.0,238.0,0.0,2,"['FHR', 'UC']"
1028,21600,90.0,4,119.14,53.98,0.0,201.25,0.0,2,"['FHR', 'UC']"
1029,16800,70.0,4,115.61,57.93,0.0,231.0,0.0,2,"['FHR', 'UC']"
1030,16800,70.0,4,129.04,41.33,0.0,192.25,0.0,2,"['FHR', 'UC']"
1031,15600,65.0,4,136.33,20.4,0.0,164.75,0.0,2,"['FHR', 'UC']"
1032,21600,90.0,4,120.37,49.62,0.0,208.25,0.0,2,"['FHR', 'UC']"
1033,15600,65.0,4,136.86,39.47,0.0,190.75,0.0,2,"['FHR', 'UC']"
1034,19200,80.0,4,115.02,56.83,0.0,185.5,0.0,2,"['FHR', 'UC']"
1035,16800,70.0,4,141.4,32.28,0.0,201.25,0.0,2,"['FHR', 'UC']"
1036,16800,70.0,4,139.2,52.46,0.0,194.75,0.0,2,"['FHR', 'UC']"
1037,18000,75.0,4,111.52,44.33,0.0,184.5,0.0,2,"['FHR', 'UC']"
1038,16800,70.0,4,105.56,55.12,0.0,239.25,0.0,2,"['FHR', 'UC']"
1039,16800,70.0,4,90.46,57.9,0.0,217.5,0.0,2,"['FHR', 'UC']"
1040,18000,75.0,4,102.76,45.9,0.0,168.5,0.0,2,"['FHR', 'UC']"
1041,16800,70.0,4,125.27,44.49,0.0,186.25,0.0,2,"['FHR', 'UC']"
1042,18000,75.0,4,130.4,49.11,0.0,174.0,0.0,2,"['FHR', 'UC']"
1043,16800,70.0,4,86.26,62.62,0.0,231.0,0.0,2,"['FHR', 'UC']"
1044,20400,85.0,4,90.8,64.67,0.0,180.0,0.0,2,"['FHR', 'UC']"
1045,15600,65.0,4,129.44,44.71,0.0,174.5,0.0,2,"['FHR', 'UC']"
1046,19200,80.0,4,126.82,23.43,0.0,171.5,0.0,2,"['FHR', 'UC']"
1047,19200,80.0,4,108.17,67.85,0.0,192.0,0.0,2,"['FHR', 'UC']"
1048,18000,75.0,4,125.45,48.49,0.0,209.5,0.0,2,"['FHR', 'UC']"
1049,15600,65.0,4,97.74,54.49,0.0,233.0,0.0,2,"['FHR', 'UC']"
1050,20400,85.0,4,101.3,51.1,0.0,156.0,0.0,2,"['FHR', 'UC']"
1051,19200,80.0,4,97.43,61.92,0.0,230.75,0.0,2,"['FHR', 'UC']"
1052,16800,70.0,4,106.11,72.16,0.0,193.0,0.0,2,"['FHR', 'UC']"
1053,16800,70.0,4,118.26,51.02,0.0,184.75,0.0,2,"['FHR', 'UC']"
1054,21600,90.0,4,110.55,68.7,0.0,198.5,0.0,2,"['FHR', 'UC']"
1055,16800,70.0,4,115.52,20.05,0.0,240.0,0.0,2,"['FHR', 'UC']"
1056,16800,70.0,4,100.65,53.29,0.0,164.5,0.0,2,"['FHR', 'UC']"
1057,18600,77.5,4,89.04,60.56,0.0,192.0,0.0,2,"['FHR', 'UC']"
1058,21600,90.0,4,66.13,68.82,0.0,185.25,0.0,2,"['FHR', 'UC']"
1059,20400,85.0,4,100.68,60.53,0.0,208.0,0.0,2,"['FHR', 'UC']"
1060,15600,65.0,4,85.44,59.64,0.0,217.5,0.0,2,"['FHR', 'UC']"
1061,18000,75.0,4,101.52,48.47,0.0,211.75,0.0,2,"['FHR', 'UC']"
1062,16800,70.0,4,118.25,61.0,0.0,196.5,0.0,2,"['FHR', 'UC']"
1063,19200,80.0,4,102.12,60.09,0.0,226.0,0.0,2,"['FHR', 'UC']"
1064,15600,65.0,4,80.61,60.31,0.0,160.0,0.0,2,"['FHR', 'UC']"
1065,19200,80.0,4,109.14,66.56,0.0,202.0,0.0,2,"['FHR', 'UC']"
1066,16800,70.0,4,104.57,44.14,0.0,235.75,0.0,2,"['FHR', 'UC']"
1067,21600,90.0,4,89.63,55.43,0.0,210.75,0.0,2,"['FHR', 'UC']"
1068,16623,69.26,4,109.73,58.4,0.0,176.0,0.0,2,"['FHR', 'UC']"
1069,15600,65.0,4,120.6,26.87,0.0,169.5,0.0,2,"['FHR', 'UC']"
1070,18000,75.0,4,118.09,54.8,0.0,196.0,0.0,2,"['FHR', 'UC']"
1071,21600,90.0,4,67.01,53.5,0.0,215.5,0.0,2,"['FHR', 'UC']"
1072,18000,75.0,4,113.91,85.03,0.0,221.5,0.0,2,"['FHR', 'UC']"
1073,21600,90.0,4,69.26,62.95,0.0,224.5,0.0,2,"['FHR', 'UC']"
1074,16800,70.0,4,116.51,29.13,0.0,160.5,0.0,2,"['FHR', 'UC']"
1075,20400,85.0,4,100.58,60.77,0.0,170.5,0.0,2,"['FHR', 'UC']"
1076,15600,65.0,4,96.09,69.22,0.0,213.25,0.0,2,"['FHR', 'UC']"
1077,16952,70.63,4,116.78,62.39,0.0,181.75,0.0,2,"['FHR', 'UC']"
1078,19200,80.0,4,155.94,39.64,0.0,183.5,0.0,2,"['FHR', 'UC']"
1079,18000,75.0,4,99.44,57.82,0.0,179.75,0.0,2,"['FHR', 'UC']"
1080,16800,70.0,4,92.67,62.76,0.0,189.5,0.0,2,"['FHR', 'UC']"
1081,16800,70.0,4,131.99,25.15,0.0,164.0,0.0,2,"['FHR', 'UC']"
1082,20400,85.0,4,87.9,66.52,0.0,191.5,0.0,2,"['FHR', 'UC']"
1083,16800,70.0,4,97.61,64.14,0.0,174.0,0.0,2,"['FHR', 'UC']"
1084,16800,70.0,4,114.99,48.57,0.0,205.5,0.0,2,"['FHR', 'UC']"
1085,20400,85.0,4,142.78,31.52,0.0,194.75,0.0,2,"['FHR', 'UC']"
1086,15600,65.0,4,107.13,55.25,0.0,162.0,0.0,2,"['FHR', 'UC']"
1087,19200,80.0,4,71.27,59.96,0.0,293.0,0.0,2,"['FHR', 'UC']"
1088,21600,90.0,4,107.82,49.9,0.0,209.0,0.0,2,"['FHR', 'UC']"
1089,16800,70.0,4,96.44,56.95,0.0,239.25,0.0,2,"['FHR', 'UC']"
1090,16800,70.0,4,120.08,53.37,0.0,238.75,0.0,2,"['FHR', 'UC']"
1091,15600,65.0,4,91.53,58.76,0.0,182.0,0.0,2,"['FHR', 'UC']"
1092,16800,70.0,4,104.4,40.93,0.0,156.25,0.0,2,"['FHR', 'UC']"
1093,15600,65.0,4,103.78,53.6,0.0,141.5,0.0,2,"['FHR', 'UC']"
1094,21600,90.0,4,118.48,54.74,0.0,208.0,0.0,2,"['FHR', 'UC']"
1095,16800,70.0,4,119.38,49.93,0.0,171.5,0.0,2,"['FHR', 'UC']"
1096,19200,80.0,4,89.31,59.2,0.0,207.75,0.0,2,"['FHR', 'UC']"
1097,16800,70.0,4,145.24,23.34,0.0,185.25,0.0,2,"['FHR', 'UC']"
1098,19200,80.0,4,131.29,62.12,0.0,189.25,0.0,2,"['FHR', 'UC']"
1099,18000,75.0,4,107.98,53.86,0.0,223.25,0.0,2,"['FHR', 'UC']"
1100,18000,75.0,4,113.84,47.42,0.0,192.25,0.0,2,"['FHR', 'UC']"
1101,15600,65.0,4,109.66,43.92,0.0,164.0,0.0,2,"['FHR', 'UC']"
1102,15620,65.08,4,119.05,46.19,0.0,163.0,0.0,2,"['FHR', 'UC']"
1103,15600,65.0,4,145.03,21.48,0.0,168.75,0.0,2,"['FHR', 'UC']"
1104,18000,75.0,4,123.95,44.62,0.0,238.0,0.0,2,"['FHR', 'UC']"
1105,19200,80.0,4,86.26,54.82,0.0,222.25,0.0,2,"['FHR', 'UC']"
1106,16800,70.0,4,116.0,43.35,0.0,186.0,0.0,2,"['FHR', 'UC']"
1107,16800,70.0,4,95.06,54.78,0.0,235.5,0.0,2,"['FHR', 'UC']"
1108,20400,85.0,4,80.35,65.12,0.0,199.0,0.0,2,"['FHR', 'UC']"
1109,16800,70.0,4,153.26,36.01,0.0,178.5,0.0,2,"['FHR', 'UC']"
1110,16800,70.0,4,95.45,22.32,0.0,153.0,0.0,2,"['FHR', 'UC']"
1111,18000,75.0,4,112.35,15.0,0.0,153.0,0.0,2,"['FHR', 'UC']"
1112,16800,70.0,4,120.88,44.61,0.0,180.25,0.0,2,"['FHR', 'UC']"
1113,18000,75.0,4,126.72,54.66,0.0,228.0,0.0,2,"['FHR', 'UC']"
1114,15600,65.0,4,132.95,30.7,0.0,167.5,0.0,2,"['FHR', 'UC']"
1115,16800,70.0,4,149.83,37.73,0.0,222.25,0.0,2,"['FHR', 'UC']"
1116,19200,80.0,4,119.29,41.84,0.0,176.0,0.0,2,"['FHR', 'UC']"
1117,21600,90.0,4,102.04,52.17,0.0,188.0,0.0,2,"['FHR', 'UC']"
1118,16800,70.0,4,114.88,52.81,0.0,199.75,0.0,2,"['FHR', 'UC']"
1119,15600,65.0,4,91.17,63.08,0.0,239.0,0.0,2,"['FHR', 'UC']"
1120,16800,70.0,4,102.27,59.32,0.0,175.0,0.0,2,"['FHR', 'UC']"
1121,20400,85.0,4,81.47,62.04,0.0,237.0,0.0,2,"['FHR', 'UC']"
1122,20400,85.0,4,98.24,51.17,0.0,231.0,0.0,2,"['FHR', 'UC']"
1123,19200,80.0,4,137.57,41.97,0.0,183.5,0.0,2,"['FHR', 'UC']"
1124,21600,90.0,4,106.31,59.74,0.0,202.5,0.0,2,"['FHR', 'UC']"
1125,18000,75.0,4,103.51,60.2,0.0,167.75,0.0,2,"['FHR', 'UC']"
1126,21600,90.0,4,112.74,35.64,0.0,170.0,0.0,2,"['FHR', 'UC']"
1127,16800,70.0,4,123.8,23.75,0.0,157.0,0.0,2,"['FHR', 'UC']"
1128,18000,75.0,4,91.62,41.77,0.0,153.0,0.0,2,"['FHR', 'UC']"
1129,16820,70.08,4,134.15,31.54,0.0,174.5,0.0,2,"['FHR', 'UC']"
1130,21600,90.0,4,96.31,59.16,0.0,178.0,0.0,2,"['FHR', 'UC']"
1131,16800,70.0,4,82.02,61.93,0.0,200.75,0.0,2,"['FHR', 'UC']"
1132,16800,70.0,4,92.05,51.92,0.0,226.0,0.0,2,"['FHR', 'UC']"
1133,16800,70.0,4,117.09,54.43,0.0,240.0,0.0,2,"['FHR', 'UC']"
1134,16800,70.0,4,80.12,58.97,0.0,226.0,0.0,2,"['FHR', 'UC']"
1135,18000,75.0,4,111.71,58.18,0.0,236.0,0.0,2,"['FHR', 'UC']"
1136,15600,65.0,4,122.38,51.21,0.0,210.0,0.0,2,"['FHR', 'UC']"
1137,19200,80.0,4,73.02,66.76,0.0,202.0,0.0,2,"['FHR', 'UC']"
1138,18000,75.0,4,125.48,56.92,0.0,239.0,0.0,2,"['FHR', 'UC']"
1139,16800,70.0,4,129.88,51.21,0.0,190.0,0.0,2,"['FHR', 'UC']"
1140,20400,85.0,4,102.84,53.45,0.0,190.75,0.0,2,"['FHR', 'UC']"
1141,18000,75.0,4,121.73,49.39,0.0,230.75,0.0,2,"['FHR', 'UC']"
1142,16800,70.0,4,118.94,61.01,0.0,187.0,0.0,2,"['FHR', 'UC']"
1143,20400,85.0,4,111.99,48.11,0.0,239.0,0.0,2,"['FHR', 'UC']"
1144,20400,85.0,4,79.74,57.36,0.0,237.0,0.0,2,"['FHR', 'UC']"
1145,16800,70.0,4,112.98,61.15,0.0,239.5,0.0,2,"['FHR', 'UC']"
1146,18000,75.0,4,103.94,61.87,0.0,167.5,0.0,2,"['FHR', 'UC']"
1147,18000,75.0,4,95.03,42.43,0.0,150.0,0.0,2,"['FHR', 'UC']"
1148,20400,85.0,4,102.35,62.68,0.0,198.75,0.0,2,"['FHR', 'UC']"
1149,16800,70.0,4,120.14,30.38,0.0,204.0,0.0,2,"['FHR', 'UC']"
1150,16800,70.0,4,125.76,51.26,0.0,180.0,0.0,2,"['FHR', 'UC']"
1151,15600,65.0,4,87.82,57.57,0.0,159.0,0.0,2,"['FHR', 'UC']"
1152,19200,80.0,4,105.25,44.15,0.0,237.0,0.0,2,"['FHR', 'UC']"
1153,16800,70.0,4,135.54,33.9,0.0,221.0,0.0,2,"['FHR', 'UC']"
1154,20400,85.0,4,116.22,39.31,0.0,181.75,0.0,2,"['FHR', 'UC']"
1155,16800,70.0,4,133.58,13.63,0.0,167.5,0.0,2,"['FHR', 'UC']"
1156,21600,90.0,4,104.65,69.76,0.0,235.5,0.0,2,"['FHR', 'UC']"
1157,16800,70.0,4,147.11,48.29,0.0,210.5,0.0,2,"['FHR', 'UC']"
1158,20400,85.0,4,80.6,60.58,0.0,224.75,0.0,2,"['FHR', 'UC']"
1159,18000,75.0,4,123.54,24.8,0.0,174.0,0.0,2,"['FHR', 'UC']"
1160,18000,75.0,4,83.33,62.34,0.0,208.0,0.0,2,"['FHR', 'UC']"
1161,15600,65.0,4,134.21,39.26,0.0,234.75,0.0,2,"['FHR', 'UC']"
1162,14400,60.0,4,108.48,19.26,0.0,161.25,0.0,2,"['FHR', 'UC']"
1163,15600,65.0,4,100.09,54.92,0.0,223.5,0.0,2,"['FHR', 'UC']"
1164,18000,75.0,4,61.74,62.14,0.0,201.25,0.0,2,"['FHR', 'UC']"
1165,15600,65.0,4,109.2,54.97,0.0,160.5,0.0,2,"['FHR', 'UC']"
1166,16800,70.0,4,118.57,27.65,0.0,168.0,0.0,2,"['FHR', 'UC']"
1167,16800,70.0,4,126.59,15.76,0.0,152.25,0.0,2,"['FHR', 'UC']"
1168,15600,65.0,4,128.13,16.36,0.0,177.5,0.0,2,"['FHR', 'UC']"
1169,15600,65.0,4,128.06,47.18,0.0,193.0,0.0,2,"['FHR', 'UC']"
1170,21600,90.0,4,123.43,16.43,0.0,164.0,0.0,2,"['FHR', 'UC']"
1171,18000,75.0,4,76.84,60.16,0.0,194.25,0.0,2,"['FHR', 'UC']"
1172,19200,80.0,4,118.6,55.76,0.0,239.0,0.0,2,"['FHR', 'UC']"
1173,19200,80.0,4,67.74,68.04,0.0,238.75,0.0,2,"['FHR', 'UC']"
1174,19200,80.0,4,96.17,66.44,0.0,231.25,0.0,2,"['FHR', 'UC']"
1175,16800,70.0,4,133.01,30.34,0.0,153.0,0.0,2,"['FHR', 'UC']"
1176,15600,65.0,4,114.57,25.41,0.0,171.0,0.0,2,"['FHR', 'UC']"
1177,15600,65.0,4,116.14,38.83,0.0,200.25,0.0,2,"['FHR', 'UC']"
1178,15600,65.0,4,94.35,58.94,0.0,192.0,0.0,2,"['FHR', 'UC']"
1179,18000,75.0,4,121.21,63.49,0.0,184.0,0.0,2,"['FHR', 'UC']"
1180,19200,80.0,4,121.38,31.01,0.0,168.5,0.0,2,"['FHR', 'UC']"
1181,18000,75.0,4,105.19,58.81,0.0,198.25,0.0,2,"['FHR', 'UC']"
1182,15600,65.0,4,139.12,57.03,0.0,183.0,0.0,2,"['FHR', 'UC']"
1183,20400,85.0,4,123.4,44.52,0.0,172.5,0.0,2,"['FHR', 'UC']"
1184,18000,75.0,4,80.89,60.47,0.0,196.0,0.0,2,"['FHR', 'UC']"
1185,18000,75.0,4,117.64,51.99,0.0,210.0,0.0,2,"['FHR', 'UC']"
1186,15600,65.0,4,86.46,58.4,0.0,166.0,0.0,2,"['FHR', 'UC']"
1187,21600,90.0,4,90.43,58.71,0.0,224.75,0.0,2,"['FHR', 'UC']"
1188,15600,65.0,4,141.57,56.81,0.0,189.75,0.0,2,"['FHR', 'UC']"
1189,15600,65.0,4,102.25,56.51,0.0,218.5,0.0,2,"['FHR', 'UC']"
1190,16800,70.0,4,97.13,62.4,0.0,175.5,0.0,2,"['FHR', 'UC']"
1191,15600,65.0,4,104.09,54.39,0.0,169.5,0.0,2,"['FHR', 'UC']"
1192,16800,70.0,4,145.69,45.13,0.0,177.5,0.0,2,"['FHR', 'UC']"
1193,15600,65.0,4,132.3,31.08,0.0,178.5,0.0,2,"['FHR', 'UC']"
1194,16800,70.0,4,124.4,29.56,0.0,171.5,0.0,2,"['FHR', 'UC']"
1195,16800,70.0,4,117.05,28.69,0.0,165.75,0.0,2,"['FHR', 'UC']"
1196,19200,80.0,4,84.4,64.13,0.0,217.0,0.0,2,"['FHR', 'UC']"
1197,16800,70.0,4,130.26,22.2,0.0,165.75,0.0,2,"['FHR', 'UC']"
1198,15600,65.0,4,70.87,70.31,0.0,176.5,0.0,2,"['FHR', 'UC']"
1199,16800,70.0,4,75.05,66.46,0.0,210.5,0.0,2,"['FHR', 'UC']"
1200,19200,80.0,4,100.43,47.67,0.0,195.0,0.0,2,"['FHR', 'UC']"
1201,19200,80.0,4,103.66,50.05,0.0,190.0,0.0,2,"['FHR', 'UC']"
1202,16800,70.0,4,105.43,52.29,0.0,188.0,0.0,2,"['FHR', 'UC']"
1203,18016,75.07,4,134.04,27.03,0.0,186.25,0.0,2,"['FHR', 'UC']"
1204,16800,70.0,4,105.5,42.11,0.0,183.0,0.0,2,"['FHR', 'UC']"
1205,15600,65.0,4,103.34,41.74,0.0,149.0,0.0,2,"['FHR', 'UC']"
1206,18000,75.0,4,107.84,62.25,0.0,207.75,0.0,2,"['FHR', 'UC']"
1207,14880,62.0,4,132.28,41.82,0.0,207.5,0.0,2,"['FHR', 'UC']"
1208,21600,90.0,4,121.0,28.42,0.0,178.25,0.0,2,"['FHR', 'UC']"
1209,16800,70.0,4,113.95,41.31,0.0,185.25,0.0,2,"['FHR', 'UC']"
1210,16800,70.0,4,93.18,60.5,0.0,179.5,0.0,2,"['FHR', 'UC']"
1211,20400,85.0,4,106.36,47.99,0.0,208.0,0.0,2,"['FHR', 'UC']"
1212,15600,65.0,4,154.62,17.85,0.0,170.5,0.0,2,"['FHR', 'UC']"
1213,19200,80.0,4,115.05,43.33,0.0,222.0,0.0,2,"['FHR', 'UC']"
1214,16800,70.0,4,95.47,55.29,0.0,211.5,0.0,2,"['FHR', 'UC']"
1215,16800,70.0,4,80.7,58.94,0.0,209.75,0.0,2,"['FHR', 'UC']"
1216,16800,70.0,4,100.79,68.0,0.0,177.5,0.0,2,"['FHR', 'UC']"
1217,16800,70.0,4,107.77,53.42,0.0,179.75,0.0,2,"['FHR', 'UC']"
1218,21030,87.62,4,64.94,63.97,0.0,170.0,0.0,2,"['FHR', 'UC']"
1219,16800,70.0,4,120.8,46.0,0.0,179.0,0.0,2,"['FHR', 'UC']"
1220,18000,75.0,4,112.99,57.11,0.0,171.0,0.0,2,"['FHR', 'UC']"
1221,16800,70.0,4,136.54,23.66,0.0,178.5,0.0,2,"['FHR', 'UC']"
1222,18000,75.0,4,85.72,53.91,0.0,180.25,0.0,2,"['FHR', 'UC']"
1223,15600,65.0,4,101.98,52.77,0.0,168.25,0.0,2,"['FHR', 'UC']"
1224,15600,65.0,4,153.36,37.56,0.0,194.5,0.0,2,"['FHR', 'UC']"
1225,15600,65.0,4,103.99,57.73,0.0,172.0,0.0,2,"['FHR', 'UC']"
1226,15600,65.0,4,122.19,34.97,0.0,186.25,0.0,2,"['FHR', 'UC']"
1227,18000,75.0,4,100.8,56.14,0.0,188.0,0.0,2,"['FHR', 'UC']"
1228,16800,70.0,4,95.19,69.5,0.0,199.0,0.0,2,"['FHR', 'UC']"
1229,16800,70.0,4,122.18,20.76,0.0,149.0,0.0,2,"['FHR', 'UC']"
1230,15600,65.0,4,136.98,35.01,0.0,168.25,0.0,2,"['FHR', 'UC']"
1231,15600,65.0,4,104.68,52.68,0.0,169.5,0.0,2,"['FHR', 'UC']"
1232,16800,70.0,4,98.78,55.25,0.0,183.0,0.0,2,"['FHR', 'UC']"
1233,15600,65.0,4,114.07,46.28,0.0,171.5,0.0,2,"['FHR', 'UC']"
1234,16800,70.0,4,115.99,45.94,0.0,201.5,0.0,2,"['FHR', 'UC']"
1235,16800,70.0,4,93.14,56.07,0.0,237.5,0.0,2,"['FHR', 'UC']"
1236,16800,70.0,4,123.46,45.02,0.0,231.5,0.0,2,"['FHR', 'UC']"
1237,16800,70.0,4,122.44,51.06,0.0,181.25,0.0,2,"['FHR', 'UC']"
1238,16800,70.0,4,83.7,68.6,0.0,237.5,0.0,2,"['FHR', 'UC']"
1239,20400,85.0,4,114.45,62.98,0.0,216.5,0.0,2,"['FHR', 'UC']"
1240,19200,80.0,4,86.8,54.32,0.0,218.5,0.0,2,"['FHR', 'UC']"
1241,19200,80.0,4,89.85,67.68,0.0,184.0,0.0,2,"['FHR', 'UC']"
1242,16800,70.0,4,97.04,56.01,0.0,169.5,0.0,2,"['FHR', 'UC']"
1243,15600,65.0,4,86.44,58.22,0.0,224.0,0.0,2,"['FHR', 'UC']"
1244,16800,70.0,4,65.5,63.62,0.0,197.0,0.0,2,"['FHR', 'UC']"
1245,16800,70.0,4,136.57,13.97,0.0,178.5,0.0,2,"['FHR', 'UC']"
1246,16800,70.0,4,116.11,59.15,0.0,201.5,0.0,2,"['FHR', 'UC']"
1247,19200,80.0,4,88.68,63.01,0.0,234.5,0.0,2,"['FHR', 'UC']"
1248,15600,65.0,4,129.62,23.22,0.0,161.25,0.0,2,"['FHR', 'UC']"
1249,15600,65.0,4,109.61,38.88,0.0,189.75,0.0,2,"['FHR', 'UC']"
1250,16800,70.0,4,115.94,18.48,0.0,167.5,0.0,2,"['FHR', 'UC']"
1251,16800,70.0,4,88.72,78.98,0.0,191.5,0.0,2,"['FHR', 'UC']"
1252,15600,65.0,4,96.79,68.71,0.0,233.5,0.0,2,"['FHR', 'UC']"
1253,16800,70.0,4,122.53,52.46,0.0,173.5,0.0,2,"['FHR', 'UC']"
1254,16800,70.0,4,102.33,46.78,0.0,157.0,0.0,2,"['FHR', 'UC']"
1255,16800,70.0,4,116.36,43.88,0.0,235.75,0.0,2,"['FHR', 'UC']"
1256,20416,85.07,4,105.45,42.69,0.0,194.25,0.0,2,"['FHR', 'UC']"
1257,16800,70.0,4,121.56,35.59,0.0,193.0,0.0,2,"['FHR', 'UC']"
1258,18000,75.0,4,102.41,67.47,0.0,238.0,0.0,2,"['FHR', 'UC']"
1259,15600,65.0,4,105.43,28.81,0.0,143.5,0.0,2,"['FHR', 'UC']"
1260,15600,65.0,4,124.97,44.24,0.0,167.5,0.0,2,"['FHR', 'UC']"
1261,15600,65.0,4,92.27,53.57,0.0,205.0,0.0,2,"['FHR', 'UC']"
1262,15600,65.0,4,87.8,61.58,0.0,194.5,0.0,2,"['FHR', 'UC']"
1263,16800,70.0,4,120.82,55.63,0.0,229.25,0.0,2,"['FHR', 'UC']"
1264,15600,65.0,4,138.15,42.99,0.0,174.5,0.0,2,"['FHR', 'UC']"
1265,18000,75.0,4,116.71,44.54,0.0,195.5,0.0,2,"['FHR', 'UC']"
1266,16800,70.0,4,96.34,67.89,0.0,181.5,0.0,2,"['FHR', 'UC']"
1267,19200,80.0,4,96.96,51.76,0.0,195.5,0.0,2,"['FHR', 'UC']"
1268,15600,65.0,4,92.88,72.83,0.0,197.75,0.0,2,"['FHR', 'UC']"
1269,19200,80.0,4,122.65,53.89,0.0,240.0,0.0,2,"['FHR', 'UC']"
1270,16800,70.0,4,99.33,56.2,0.0,224.75,0.0,2,"['FHR', 'UC']"
1271,19200,80.0,4,111.97,54.51,0.0,239.25,0.0,2,"['FHR', 'UC']"
1272,19200,80.0,4,115.43,39.69,0.0,194.75,0.0,2,"['FHR', 'UC']"
1273,15600,65.0,4,114.2,34.41,0.0,161.25,0.0,2,"['FHR', 'UC']"
1274,15542,64.76,4,123.28,41.89,0.0,197.25,0.0,2,"['FHR', 'UC']"
1275,18000,75.0,4,121.16,53.5,0.0,218.0,0.0,2,"['FHR', 'UC']"
